Using port 6000
Using server address 127.0.0.1
Host Johnass-MacBook-Pro.local.10473
1585695614.9: Send (T  1)
1585695614.10: Recv (D  4)
1585695622.38: Send (T  2)
1585695622.39: Recv (D  5)
1585695624.64: Send (T  1)
1585695624.64: Recv (D  6)
1585695628.54: Send (T 13)
1585695628.56: Recv (D  7)
1585695631.82: Send (T  1)
1585695631.83: Recv (D  8)
1585695633.99: Send (T  1)
1585695633.99: Recv (D  9)
1585695635.75: Send (T  1)
1585695635.75: Recv (D 10)
1585695637.6: Send (T  1)
1585695637.6: Recv (D 11)
1585695638.57: Send (T  1)
1585695638.58: Recv (D 12)
1585695640.32: Send (T  1)
1585695640.32: Recv (D 13)
1585695643.72: Send (T  3)
1585695643.73: Recv (D 14)
